PLAYER_NAME,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FG3_PCT,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,POS,FG%,FT%,z_PTS,z_REB,z_AST,z_STL,z_BLK,z_3PM,z_FG%,z_FT%,z_TOV,fantasy_z_9cat,Total_PTS,PTS_roll2,PTS_delta,REB_roll2,REB_delta,AST_roll2,AST_delta,STL_roll2,STL_delta,BLK_roll2,BLK_delta,FG3M_roll2,FG3M_delta,FG%_roll2,FG%_delta,FT%_roll2,FT%_delta,TOV_roll2,TOV_delta,GP_roll2,GP_delta,MIN_roll2,MIN_delta,next_fantasy_z_9cat,delta_fantasy,AGE_sq,PTS_per36,REB_per36,AST_per36,STL_per36,BLK_per36,TOV_per36,sample_weight_norm,AGE_squared,target_delta
Al Horford,201143,2023-24,0,1610612738,BOS,38,65,33,26.76923077,3.292307692,6.446153846,1.661538462,3.969230769,0.419,0.4,0.461538462,1.261538462,5.092307692,6.353846154,2.584615385,0.584615385,0.953846154,0.738461538,1.430769231,8.646153846,Forward-Center,0.471107719,0.754207998,-0.335268256,0.895074177,0.058441398,-0.387710293,1.221154215,0.489094949,0.510300327,0.004197971,0.638347753,3.093632242,561.99999999,9.968599034,-1.131623932,6.935817805,0.16336996400000015,3.1811594205000002,-0.4153846149999998,0.5931677019999999,0.10842490900000001,1.1507936504999998,-0.014407814000000019,1.795721187,-0.6400488400000002,0.46874138,0.0020441299999999774,0.754227439,0.0013005400000000167,0.7646652865,0.15115995100000001,66.0,2.0,29.775017249999998,-3.7228327199999995,1.806922864,-1.286709378,1444,11.627586206355529,8.544827586168251,3.475862069382878,0.7862068970463734,1.2827586208596908,0.993103447626635,0.891941389467368,1444,-1.286709378
Alec Burks,202692,2020-21,0,1610612752,NYK,29,49,5,25.6122449,4.285714286,10.20408163,2.081632653,5.020408163,0.415,2.06122449,2.408163265,0.428571429,4.204081633,4.632653061,2.183673469,0.632653061,0.285714286,1.0,2.081632653,12.71428571,Guard,0.464042109,0.757892041,0.277253023,0.181433663,-0.145481893,-0.260608232,-0.438662518,0.942128271,-0.920389416,0.765087199,0.326844856,0.727604954,622.9999997900001,,,,,,,,,,,,,,,,,,,,,,,1.467411604,0.73980665,841,17.87091632721347,6.511553784026171,3.0693227083737593,0.8892430275020523,0.4015936258676021,1.4055776891310297,0.78786417669398,841,0.73980665
Alec Burks,202692,2021-22,0,1610612752,NYK,30,81,44,28.61728395,3.518518519,8.987654321,1.938271605,4.802469136,0.404,2.679012346,3.259259259,0.580246914,4.320987654,4.901234568,2.950617284,1.049382716,0.320987654,1.12345679,2.654320988,11.65432099,Guard,0.462142188,0.757379163,0.117658651,0.292792839,0.244593828,0.842009581,-0.351034117,0.787526439,-1.305097534,0.659159096,0.179802821,1.467411604,944.00000019,12.71428571,-1.05996472,4.632653061,0.2685815069999995,2.183673469,0.7669438149999999,0.632653061,0.41672965500000003,0.285714286,0.03527336800000003,2.081632653,-0.14336104800000027,0.464042109,-0.001899920999999971,0.757892041,-0.0005128779999999944,1.0,0.1234567900000001,49.0,32.0,25.6122449,3.0050390500000006,0.0433872,-1.424024404,900,14.660914584802867,6.165660052026006,3.711820535086104,1.3201035374987078,0.4037963757912812,1.4132873165274653,0.9838189022586399,900,-1.424024404
Alec Burks,202692,2022-23,0,1610612765,DET,31,51,8,22.0,3.921568627,9.0,1.941176471,4.68627451,0.414,3.0,3.68627451,0.37254902,2.725490196,3.098039216,2.235294118,0.745098039,0.156862745,1.137254902,1.921568627,12.78431373,Guard,0.465849726,0.757343844,0.287796842,-0.454847426,-0.119227086,0.036907998,-0.758763913,0.790659072,-0.554371556,0.651864559,0.163368711,0.0433872,652.00000023,12.18430335,1.1299927399999987,4.766943814499999,-1.8031953519999995,2.5671453765,-0.7153231659999997,0.8410178884999999,-0.30428467699999995,0.30335097,-0.164124909,2.009952129,0.0029048659999999504,0.4630921485,0.00370753800000001,0.7576356019999999,-3.531899999997812e-05,1.061728395,0.013798111999999918,65.0,-30.0,27.114764425,-6.617283950000001,-2.252517071,-2.2959042710000004,961,20.919786103636362,5.069518717090909,3.6577540112727274,1.2192513365454545,0.2566844918181818,1.8609625669090908,0.8017209611450578,961,-2.2959042710000004
Alec Burks,202692,2023-24,0,0,TOT,32,66,1,18.36363636,3.181818182,8.621212121,1.878787879,5.0,0.376,2.196969697,2.53030303,0.363636364,1.909090909,2.272727273,1.333333333,0.424242424,0.181818182,0.727272727,1.136363636,10.43939394,Guard,0.460636062,0.758698176,-0.065267737,-0.797037993,-0.577973864,-0.812038345,-0.696767991,0.723378658,-1.610067382,0.931583502,0.65167408,-2.252517071,689.00000004,12.21931736,-2.3449197899999987,3.999636892,-0.825311943,2.592955701,-0.9019607850000002,0.8972403775,-0.32085561500000004,0.23892519950000002,0.024955436999999997,1.939724038,-0.0623885919999998,0.463995957,-0.005213664000000007,0.7573615035,0.0013543320000000136,1.130355846,-0.409982175,66.0,15.0,25.308641975,-3.636363639999999,-2.28906411,-0.03654703899999978,1024,20.465346539894128,4.455445545971376,2.613861386002745,0.8316831680062738,0.35643564399137334,1.4257425740050975,0.8979944952462691,1024,-0.03654703899999978
Aleksej Pokusevski,1630197,2020-21,0,1610612760,OKC,19,45,28,24.22222222,3.088888889,9.066666667,1.288888889,4.6,0.28,0.688888889,0.933333333,0.666666667,4.044444444,4.711111111,2.155555556,0.444444444,0.933333333,2.2,1.288888889,8.155555556,Forward,0.45793417,0.752888915,-0.40913555,0.213963913,-0.159782961,-0.758586168,1.170194929,0.087226327,-2.157163677,-0.268240866,-1.102403728,-3.38392778,367.00000001999996,,,,,,,,,,,,,,,,,,,,,,,-1.94078051,1.44314727,361,12.121100919203771,7.0018348628625535,3.203669725725107,0.6605504581156469,1.3871559629346015,3.269724770942177,0.7592747675300136,361,1.44314727
Aleksej Pokusevski,1630197,2021-22,0,1610612760,OKC,20,61,12,20.21311475,3.049180328,7.475409836,0.93442623,3.229508197,0.289,0.573770492,0.819672131,1.196721311,4.016393443,5.213114754,2.147540984,0.639344262,0.62295082,1.540983607,1.442622951,7.606557377,Forward,0.46432563,0.752309312,-0.491795866,0.422104499,-0.163859257,-0.242904098,0.399122459,-0.295029365,-0.862980269,-0.387950091,-0.317488522,-1.94078051,463.999999997,8.155555556,-0.5489981789999998,4.711111111,0.5020036430000001,2.155555556,-0.008014571999999998,0.444444444,0.19489981800000006,0.933333333,-0.31038251299999997,1.288888889,-0.35446265900000007,0.45793417,0.0063914600000000155,0.752888915,-0.0005796030000000396,2.2,-0.6590163930000001,45.0,16.0,24.22222222,-4.00910747,-0.200336621,1.740443889,400,13.547445258133708,9.28467153455407,3.824817519724416,1.1386861310921912,1.1094890519037894,2.7445255487900497,0.8672503031345515,400,1.740443889
Aleksej Pokusevski,1630197,2022-23,0,1610612760,OKC,21,34,25,20.61764706,3.176470588,7.323529412,1.117647059,3.058823529,0.365,0.647058824,1.029411765,1.323529412,3.352941176,4.676470588,1.882352941,0.588235294,1.264705882,1.264705882,1.705882353,8.117647059,Forward,0.466179525,0.750662035,-0.414843271,0.199601271,-0.298736695,-0.378132436,1.993412213,-0.097442389,-0.487591877,-0.72817287,0.011569434,-0.200336621,276.000000006,7.8810564665,0.5110896819999997,4.9621129325,-0.5366441660000003,2.15154827,-0.265188043,0.541894353,-0.05110896800000009,0.7781420765,0.6417550619999999,1.1116575595,0.18322082900000003,0.4611299,0.0018538949999999943,0.7525991135,-0.0016472770000000025,1.8704918035000002,-0.27627772500000014,53.0,-27.0,22.217668484999997,0.40453231000000045,-3.184279678,-2.983943057,441,14.174037089370954,8.16547788785361,3.2867332377354215,1.0271041366831895,2.20827389369425,2.20827389369425,0.6733239263852426,441,-2.983943057
Aleksej Pokusevski,1630197,2023-24,0,0,TOT,22,28,0,14.46428571,1.75,4.321428571,0.642857143,1.964285714,0.327,1.071428571,1.464285714,0.607142857,2.571428571,3.178571429,1.25,0.535714286,0.464285714,0.678571429,0.785714286,5.214285714,Forward,0.465904267,0.752564593,-0.851990015,-0.421457186,-0.620358077,-0.517096868,0.004956264,-0.609460068,-0.543327757,-0.335225269,0.709679299,-3.184279678,145.999999992,7.8621022179999995,-2.9033613449999995,4.944792671,-1.4978991590000001,2.0149469625,-0.632352941,0.613789778,-0.052521007999999925,0.943828351,-0.8004201679999998,1.0260366445,-0.4747899160000001,0.4652525775,-0.00027525800000000045,0.7514856735,0.0019025580000000542,1.4028447444999999,-0.5861344529999999,47.5,-6.0,20.415380905,-6.153361349999999,,,484,12.977777780911932,7.91111111452181,3.111111112032922,1.3333333344395062,1.1555555551868313,1.688888890455967,0.6204701092896713,484,
Alex Caruso,1627936,2020-21,0,1610612747,LAL,27,58,6,20.96551724,2.293103448,5.25862069,0.948275862,2.362068966,0.401,0.844827586,1.310344828,0.534482759,2.396551724,2.931034483,2.75862069,1.103448276,0.25862069,1.310344828,1.862068966,6.379310345,Guard,0.466910724,0.750404516,-0.676577222,-0.524090874,0.146942333,0.985060714,-0.505970195,-0.280093798,-0.339534008,-0.781359867,-0.042788398,-2.018411314,370.00000001,,,,,,,,,,,,,,,,,,,,,,,1.335649384,3.3540606980000005,729,10.953947369437762,5.03289473758769,4.736842106166897,1.894736842466759,0.444078947989742,2.250000000858553,0.8481960016788104,729,3.3540606980000005
